sensor,value,datetime
HUM,100.0,2019-01-01 00:26:26.749000+00:00
HUM,100.0,2019-01-01 01:26:26.650000+00:00
HUM,100.0,2019-01-01 02:26:27.049000+00:00
HUM,89.86,2019-01-01 03:26:26.966000+00:00
HUM,36.46,2019-01-01 04:26:27.397000+00:00
HUM,26.64,2019-01-01 05:26:27.601000+00:00
HUM,21.13,2019-01-01 06:26:27.929000+00:00
HUM,21.43,2019-01-01 07:26:27.350000+00:00
HUM,18.01,2019-01-01 08:26:27.952000+00:00
HUM,17.12,2019-01-01 09:26:27.956000+00:00
HUM,16.44,2019-01-01 10:26:27.696000+00:00
HUM,24.88,2019-01-01 11:26:27.420000+00:00
HUM,52.14,2019-01-01 12:26:28.279000+00:00
HUM,73.87,2019-01-01 13:26:28.268000+00:00
HUM,92.21,2019-01-01 14:26:27.948000+00:00
HUM,100.0,2019-01-01 15:26:27.944000+00:00
HUM,100.0,2019-01-01 16:26:27.966000+00:00
HUM,100.0,2019-01-01 17:26:28.005000+00:00
HUM,100.0,2019-01-01 18:26:28.603000+00:00
HUM,100.0,2019-01-01 19:26:28.247000+00:00
HUM,100.0,2019-01-01 20:26:28.886000+00:00
HUM,100.0,2019-01-01 21:26:28.672000+00:00
HUM,100.0,2019-01-01 22:26:32.084000+00:00
HUM,100.0,2019-01-01 23:26:29.198000+00:00
HUM,100.0,2019-01-02 00:26:28.889000+00:00
HUM,100.0,2019-01-02 01:26:29.531000+00:00
HUM,100.0,2019-01-02 02:26:28.947000+00:00
HUM,81.46,2019-01-02 03:26:29.209000+00:00
HUM,35.32,2019-01-02 04:26:29.211000+00:00
HUM,29.33,2019-01-02 05:26:29.633000+00:00
HUM,22.87,2019-01-02 06:26:29.842000+00:00
HUM,18.84,2019-01-02 07:26:29.841000+00:00
HUM,16.82,2019-01-02 08:26:30.190000+00:00
HUM,15.66,2019-01-02 09:26:29.572000+00:00
HUM,16.6,2019-01-02 10:26:30.191000+00:00
HUM,30.25,2019-01-02 11:26:30.168000+00:00
HUM,54.88,2019-01-02 12:26:29.866000+00:00
HUM,79.39,2019-01-02 13:26:30.475000+00:00
HUM,100.0,2019-01-02 14:26:30.514000+00:00
HUM,100.0,2019-01-02 15:26:30.240000+00:00
HUM,100.0,2019-01-02 16:26:30.808000+00:00
HUM,100.0,2019-01-02 17:26:30.236000+00:00
HUM,100.0,2019-01-02 18:26:30.803000+00:00
HUM,100.0,2019-01-02 19:26:30.473000+00:00
HUM,100.0,2019-01-02 20:26:30.467000+00:00
HUM,100.0,2019-01-02 21:26:31.113000+00:00
HUM,100.0,2019-01-02 22:26:30.847000+00:00
HUM,100.0,2019-01-02 23:26:30.791000+00:00
HUM,100.0,2019-01-03 00:26:31.469000+00:00
HUM,100.0,2019-01-03 01:26:31.762000+00:00
HUM,100.0,2019-01-03 02:26:31.770000+00:00
HUM,81.12,2019-01-03 03:26:31.474000+00:00
HUM,48.07,2019-01-03 04:26:31.459000+00:00
HUM,38.62,2019-01-03 05:26:31.474000+00:00
HUM,29.58,2019-01-03 06:26:31.905000+00:00
HUM,23.99,2019-01-03 07:26:32.107000+00:00
HUM,19.9,2019-01-03 08:26:31.746000+00:00
HUM,19.24,2019-01-03 09:26:31.774000+00:00
HUM,21.02,2019-01-03 10:26:32.435000+00:00
HUM,31.31,2019-01-03 11:26:32.409000+00:00
HUM,61.11,2019-01-03 12:26:32.151000+00:00
HUM,88.74,2019-01-03 13:26:32.716000+00:00
HUM,100.0,2019-01-03 14:26:32.751000+00:00
HUM,100.0,2019-01-03 15:26:32.418000+00:00
HUM,100.0,2019-01-03 16:26:32.410000+00:00
HUM,100.0,2019-01-03 17:26:33.043000+00:00
HUM,100.0,2019-01-03 18:26:32.420000+00:00
HUM,100.0,2019-01-03 19:26:32.766000+00:00
HUM,100.0,2019-01-03 20:26:33.366000+00:00
HUM,100.0,2019-01-03 21:26:33.416000+00:00
HUM,100.0,2019-01-03 22:26:33.028000+00:00
HUM,100.0,2019-01-03 23:26:33.412000+00:00
HUM,100.0,2019-01-04 00:26:33.668000+00:00
HUM,100.0,2019-01-04 01:26:33.383000+00:00
HUM,100.0,2019-01-04 02:26:33.452000+00:00
HUM,80.84,2019-01-04 03:26:33.360000+00:00
HUM,44.98,2019-01-04 04:26:34.014000+00:00
HUM,34.35,2019-01-04 05:26:33.684000+00:00
HUM,23.48,2019-01-04 06:26:34.313000+00:00
HUM,22.49,2019-01-04 07:26:33.693000+00:00
HUM,20.81,2019-01-04 08:26:34.012000+00:00
HUM,19.65,2019-01-04 09:26:34.333000+00:00
HUM,19.92,2019-01-04 10:26:34.047000+00:00
HUM,29.25,2019-01-04 11:26:34.005000+00:00
HUM,59.05,2019-01-04 12:26:34.382000+00:00
HUM,85.2,2019-01-04 13:26:34.654000+00:00
HUM,100.0,2019-01-04 14:26:34.978000+00:00
HUM,100.0,2019-01-04 15:26:34.327000+00:00
HUM,100.0,2019-01-04 16:26:34.944000+00:00
HUM,100.0,2019-01-04 17:26:34.655000+00:00
HUM,100.0,2019-01-04 18:26:35.288000+00:00
HUM,100.0,2019-01-04 19:26:34.992000+00:00
HUM,100.0,2019-01-04 20:26:35.266000+00:00
HUM,100.0,2019-01-04 21:26:34.945000+00:00
HUM,100.0,2019-01-04 22:26:34.959000+00:00
HUM,100.0,2019-01-04 23:26:35.669000+00:00
HUM,100.0,2019-01-05 00:26:35.966000+00:00
