sensor,value,datetime
TC,10.067472,2019-01-01 00:30:00+00:00
HUM,59.0,2019-01-01 00:30:00+00:00
PRES,1020.71,2019-01-01 00:30:00+00:00
TC,11.373131999999998,2019-01-01 01:30:00+00:00
HUM,56.99999999999999,2019-01-01 01:30:00+00:00
PRES,1021.19,2019-01-01 01:30:00+00:00
TC,12.895475999999999,2019-01-01 02:30:00+00:00
HUM,55.00000000000001,2019-01-01 02:30:00+00:00
PRES,1021.66,2019-01-01 02:30:00+00:00
TC,15.045647999999998,2019-01-01 03:30:00+00:00
HUM,50.0,2019-01-01 03:30:00+00:00
PRES,1021.69,2019-01-01 03:30:00+00:00
TC,18.051444,2019-01-01 04:30:00+00:00
HUM,43.0,2019-01-01 04:30:00+00:00
PRES,1021.29,2019-01-01 04:30:00+00:00
TC,21.107244,2019-01-01 05:30:00+00:00
HUM,37.0,2019-01-01 05:30:00+00:00
PRES,1020.77,2019-01-01 05:30:00+00:00
TC,23.324088000000003,2019-01-01 06:30:00+00:00
HUM,32.0,2019-01-01 06:30:00+00:00
PRES,1020.05,2019-01-01 06:30:00+00:00
TC,24.729756,2019-01-01 07:30:00+00:00
HUM,28.000000000000004,2019-01-01 07:30:00+00:00
PRES,1018.99,2019-01-01 07:30:00+00:00
TC,24.968664,2019-01-01 08:30:00+00:00
HUM,27.0,2019-01-01 08:30:00+00:00
PRES,1018.03,2019-01-01 08:30:00+00:00
TC,24.368616,2019-01-01 09:30:00+00:00
HUM,28.000000000000004,2019-01-01 09:30:00+00:00
PRES,1017.55,2019-01-01 09:30:00+00:00
TC,23.3352,2019-01-01 10:30:00+00:00
HUM,31.0,2019-01-01 10:30:00+00:00
PRES,1017.54,2019-01-01 10:30:00+00:00
TC,22.157328,2019-01-01 11:30:00+00:00
HUM,34.0,2019-01-01 11:30:00+00:00
PRES,1017.71,2019-01-01 11:30:00+00:00
TC,20.66832,2019-01-01 12:30:00+00:00
HUM,36.0,2019-01-01 12:30:00+00:00
PRES,1018.03,2019-01-01 12:30:00+00:00
TC,18.50148,2019-01-01 13:30:00+00:00
HUM,39.0,2019-01-01 13:30:00+00:00
PRES,1018.6,2019-01-01 13:30:00+00:00
TC,16.451316000000002,2019-01-01 14:30:00+00:00
HUM,42.0,2019-01-01 14:30:00+00:00
PRES,1019.15,2019-01-01 14:30:00+00:00
TC,14.967864,2019-01-01 15:30:00+00:00
HUM,45.0,2019-01-01 15:30:00+00:00
PRES,1019.47,2019-01-01 15:30:00+00:00
TC,14.08446,2019-01-01 16:30:00+00:00
HUM,48.0,2019-01-01 16:30:00+00:00
PRES,1019.54,2019-01-01 16:30:00+00:00
TC,13.545528,2019-01-01 17:30:00+00:00
HUM,50.0,2019-01-01 17:30:00+00:00
PRES,1019.48,2019-01-01 17:30:00+00:00
TC,12.867695999999995,2019-01-01 18:30:00+00:00
HUM,52.0,2019-01-01 18:30:00+00:00
PRES,1019.36,2019-01-01 18:30:00+00:00
TC,12.062076,2019-01-01 19:30:00+00:00
HUM,55.00000000000001,2019-01-01 19:30:00+00:00
PRES,1019.27,2019-01-01 19:30:00+00:00
TC,11.145336,2019-01-01 20:30:00+00:00
HUM,57.99999999999999,2019-01-01 20:30:00+00:00
PRES,1019.02,2019-01-01 20:30:00+00:00
TC,10.1397,2019-01-01 21:30:00+00:00
HUM,61.0,2019-01-01 21:30:00+00:00
PRES,1018.92,2019-01-01 21:30:00+00:00
TC,9.261852,2019-01-01 22:30:00+00:00
HUM,64.0,2019-01-01 22:30:00+00:00
PRES,1018.97,2019-01-01 22:30:00+00:00
TC,9.828563999999998,2019-01-01 23:30:00+00:00
HUM,63.0,2019-01-01 23:30:00+00:00
PRES,1019.12,2019-01-01 23:30:00+00:00
TC,11.339795999999998,2019-01-02 00:30:00+00:00
HUM,61.0,2019-01-02 00:30:00+00:00
PRES,1019.29,2019-01-02 00:30:00+00:00
TC,12.512112000000002,2019-01-02 01:30:00+00:00
HUM,61.0,2019-01-02 01:30:00+00:00
PRES,1019.68,2019-01-02 01:30:00+00:00
